Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
218460337,The Compound,Aisling Rawle,"Rawle, Aisling",,"=""0593977270""","=""9780593977279""",4,3.57,Random House,Hardcover,292,2025,2025,2025/07/08,2025/07/06,,,read,,,,1,0
139391940,"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,"Gilmore, Laurie",,"=""0008610665""","=""9780008610661""",0,3.36,HarperCollins,error,376,2023,2023,,2025/07/07,to-read,to-read (#357),to-read,,,,0,0
216247498,"The Wind Weaver (Reign of Remnants, #1)",Julie   Johnson,"Johnson, Julie",,"=""0593817869""","=""9780593817865""",0,3.95,Ace,Hardcover,544,2025,2025,,2025/07/07,to-read,to-read (#356),to-read,,,,0,0
205335957,"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0356522962""","=""9780356522968""",4,4.28,Orbit,Hardcover,385,2025,2025,2025/07/06,2025/06/15,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.12,Tor.com,ebook,144,2017,2017,,2025/06/29,to-read,to-read (#355),to-read,,,,0,0
219301746,Sounds Like Love,Ashley Poston,"Poston, Ashley",,"=""0593641000""","=""9780593641002""",0,3.89,Berkley,Paperback,384,2025,2025,,2025/06/26,to-read,to-read (#354),to-read,,,,0,0
221452836,These Memories Do Not Belong to Us,Yiming Ma,"Ma, Yiming",,"=""0063413485""","=""9780063413481""",0,3.56,Mariner Books,Hardcover,224,2025,2025,,2025/06/26,to-read,to-read (#353),to-read,,,,0,0
220458605,UnWorld,Jayson Greene,"Greene, Jayson",,"=""0593802187""","=""9780593802182""",0,3.28,Knopf,Hardcover,224,2025,2025,,2025/06/26,to-read,to-read (#352),to-read,,,,0,0
219401075,The Memory Collectors,Dete Meserve,"Meserve, Dete",,"=""""","=""9798892422420""",0,3.93,Crooked Lane Books,Paperback,336,2025,2025,,2025/06/26,to-read,to-read (#351),to-read,,,,0,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,3.98,Tor,Hardcover,535,2025,2025,,2025/06/26,to-read,to-read (#350),to-read,,,,0,0
220161226,Aftertaste,Daria  Lavelle,"Lavelle, Daria",,"=""1668061597""","=""9781668061596""",0,3.93,Simon & Schuster,Hardcover,400,2025,2025,,2025/06/26,to-read,to-read (#349),to-read,,,,0,0
217388147,The Hounding,Xenobe Purvis,"Purvis, Xenobe",,"=""1250366380""","=""9781250366382""",0,3.69,Henry Holt and Co.,Hardcover,240,2025,2025,,2025/06/26,to-read,to-read (#348),to-read,,,,0,0
218559595,Great Big Beautiful Life,Emily Henry,"Henry, Emily",,"=""""","=""""",3,3.97,Berkley,Hardcover,432,2025,2025,2025/06/18,2025/06/18,,,read,,,,1,0
211004893,When the Wolf Comes Home,Nat Cassidy,"Cassidy, Nat",,"=""125035434X""","=""9781250354341""",0,4.13,Tor Nightfire,Paperback,304,2025,2025,,2025/06/15,to-read,to-read (#347),to-read,,,,0,0
218185743,Bat Eater and Other Names for Cora Zeng,Kylie Lee Baker,"Baker, Kylie Lee",,"=""0778368459""","=""9780778368458""",0,4.11,MIRA,Hardcover,304,2025,2025,,2025/06/15,to-read,to-read (#346),to-read,,,,0,0
207611566,Witchcraft for Wayward Girls,Grady Hendrix,"Hendrix, Grady",,"=""0593548981""","=""9780593548981""",0,3.92,Berkley,Hardcover,482,2025,2025,,2025/06/15,to-read,to-read (#345),to-read,,,,0,0
215362027,Dissolution,Nicholas Binge,"Binge, Nicholas",,"=""0593852168""","=""9780593852163""",0,4.01,Riverhead Books,Hardcover,384,2025,2025,,2025/06/15,to-read,to-read (#344),to-read,,,,0,0
218695937,The Dream Hotel,Laila Lalami,"Lalami, Laila",,"=""0593317602""","=""9780593317600""",0,3.61,Pantheon,Hardcover,336,2025,2025,,2025/06/15,to-read,to-read (#343),to-read,,,,0,0
211004190,When the Moon Hits Your Eye,John Scalzi,"Scalzi, John",,"=""0765389096""","=""9780765389091""",0,3.79,Tor Books,Hardcover,326,2025,2025,,2025/06/15,to-read,to-read (#342),to-read,,,,0,0
214329001,Death of the Author,Nnedi Okorafor,"Okorafor, Nnedi",,"=""0063391155""","=""9780063391154""",0,4.01,William Morrow,Kindle Edition,448,2025,2025,,2025/06/15,to-read,to-read (#341),to-read,,,,0,0
217171544,"Shield of Sparrows (Shield of Sparrows, #1)",Devney Perry,"Perry, Devney",,"=""1649378513""","=""9781649378514""",0,4.40,Entangled: Red Tower Books,Hardcover,528,2025,2025,,2025/06/15,to-read,to-read (#340),to-read,,,,0,0
212806636,Isola,Allegra Goodman,"Goodman, Allegra",,"=""0593730089""","=""9780593730089""",0,4.01,The Dial Press,Hardcover,346,2025,2025,,2025/06/15,to-read,to-read (#339),to-read,,,,0,0
61797464,Meet Me at the Lake,Carley Fortune,"Fortune, Carley",,"=""0735243786""","=""9780735243781""",3,3.68,Viking,Paperback,336,2023,2023,2025/06/15,2025/06/15,,,read,,,,1,0
217245639,One Golden Summer,Carley Fortune,"Fortune, Carley",,"=""0593638913""","=""9780593638910""",3,4.30,Berkley,Paperback,401,2025,2025,2025/06/15,2025/05/24,,,read,,,,1,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""""","=""""",0,4.18,Berkley,Paperback,320,2022,2022,,2025/05/24,to-read,to-read (#338),to-read,,,,0,0
59667535,Restoring the Kinship Worldview: Indigenous Voices Introduce 28 Precepts for Rebalancing Life on Planet Earth,Wahinkpe Topa (Four Arrows),"Arrows), Wahinkpe Topa (Four",Darcia Narváez,"=""1623176425""","=""9781623176426""",0,4.23,North Atlantic Books,Paperback,336,2022,,,2025/05/17,currently-reading,currently-reading (#15),currently-reading,,,,1,0
211004018,Rose of Jericho,Alex Grecian,"Grecian, Alex",,"=""1250874718""","=""9781250874719""",0,3.94,Tor Nightfire,Hardcover,337,2025,2025,,2025/05/07,to-read,to-read (#337),to-read,,,,0,0
212807260,"The Curious Kitten at the Chibineko Kitchen (Meals to Remember at the Chibineko Kitchen, #1)",Yuta Takahashi,"Takahashi, Yuta",Cat Anderson,"=""0143138618""","=""9780143138617""",4,3.95,Penguin Books,Paperback,192,2025,2020,2025/05/01,2025/03/21,,,read,,,,1,0
